"","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"Sudan",446.880453615166,453.061380891777,440.030792442157,400.373354862634,373.572476925038,317.98637564148,429.347965443449,395.681115466056,398.794667246245,513.47629685482,465.21974017773,368.504941410941,428.27300505844,453.518601644096,447.379737669901,477.306206419599,463.420922992898,464.504588736333,481.66505615088,498.580650223531,523.427639205965,433.39993369951,464.877410756455,429.526013745678,467.829757820788,407.719566176273,447.616253166462,498.250893446181,539.118943296176,459.360304673942,340.465400868468,392.724467035106
"Yemen",230.909094545576,172.50539943907,171.303132745955,160.282894558377,275.987718900045,91.6210766633352,112.520199219386,165.545763863458,144.28974363539,150.765917195214,209.261804845598,160.525354729758,199.723555846347,184.354754991002,188.231046199799,131.934870084127,150.633997705248,194.217795981301,217.137488047282,168.813330147001,171.119865285026,126.530663490295,165.058324800597,177.390506651666,183.602988031175,167.510119279226,175.55606314871,184.45870812734,146.63908595509,126.550550619761,118.198861731423,155.163873288367
"Eritrea",458.466062164307,490.584559631348,451.819624328613,388.250414276123,385.270808410645,287.315391159058,399.246691894531,399.242613220215,376.237436676025,435.188935852051,345.910945892334,255.071946716309,250.048947906494,462.291315460205,486.963414001465,466.59986038208,494.017802429199,489.48465423584,540.205868530273,541.704457855225,500.627558898926,422.675482177734,385.270496749878,323.36653175354,382.867667007446,334.088119125366,403.727812576294,420.853071975708,387.973773193359,308.273960494995,249.116521835327,351.498000717163
"Senegal",631.413626726936,545.846531138701,654.17634268368,565.484767689424,449.437678168802,561.881404427921,614.941012214212,641.644343207864,656.976169361788,737.878343021168,716.820005080279,552.235864975873,550.525104522705,595.891434613396,658.651333079619,755.527243670295,691.904261869543,651.520668478573,639.61656592874,669.028774037081,853.864655438591,732.333753698012,642.584912019617,548.615944581873,870.587671616498,634.978654749253,691.196458704331,579.87927829518,572.892604154699,785.261532503016,697.653903288,795.76915920482
"Cape Verde",172.854797363281,225.45719909668,409.081390380859,325.637603759766,214.768402099609,285.722412109375,253.160202026367,437.830200195312,234.309600830078,253.861892700195,335.586791992188,306.062896728516,156.609603881836,103.42569732666,335.438995361328,149.624801635742,167.38069152832,221.220199584961,92.2319030761719,132.315505981445,171.669296264648,178.249008178711,119.416595458984,151.771697998047,176.030090332031,240.15299987793,144.619293212891,136.642105102539,132.698196411133,222.880401611328,234.661193847656,216.704193115234
"Burkina Faso",840.959322197493,786.896092969318,764.845354656841,749.855641919513,624.744376249092,627.079878696175,725.06731326081,786.409889753475,691.269107197606,835.716904041379,819.563261165175,685.925048118414,927.060123177462,793.829547261083,773.860563056414,1020.59528723428,827.493747799896,836.057866296103,796.478283194608,912.252395984738,939.333952438,780.074642092683,784.749896382177,714.848889727925,992.591197878815,783.685620684956,804.83897506359,835.325533134993,899.521800906159,878.002311529115,868.170575518941,922.277316780977
"Ethiopia",944.997806580086,874.853346165603,1042.2123008666,1013.06797554822,955.599236630489,743.794736205724,899.990818137399,821.106930368315,829.978649935425,900.230734434877,907.532678702336,812.117741571855,763.730606327212,812.546278005047,865.415238874068,842.98595207235,793.136509262126,908.171732501932,1003.3353237576,899.642572583868,833.3959304272,854.618231962044,833.327603720068,759.898088201921,821.731913083291,777.179502326945,782.221218739745,926.662169086901,822.543374699952,777.520034293818,578.870532979164,739.397178008951
"Nigeria",1231.53987982722,1271.31675463384,1181.68440674634,1134.29736428843,935.946304220571,1094.80487085726,1150.22873649975,1129.09588144636,1054.82885792547,1268.7470201549,1226.32940250812,1218.92646190278,1344.18973573993,1193.14932422197,1218.73468047794,1291.2612112316,1280.91626359291,1293.68547355224,1310.4395361167,1213.18884579498,1310.22925842084,1128.99774834661,1231.6835697791,1244.74927996645,1167.34311144738,1186.66290001193,1204.32178963136,1380.80405418472,1360.45631413727,1247.80064024469,1197.96757774227,1330.51221488726
"Gambia",772.856770833333,618.360107421875,769.310709635417,670.265421549479,528.981852213542,682.722473144531,721.894551595052,743.447835286458,792.312784830729,898.928934733073,853.715311686198,653.587036132812,632.727945963542,719.34434000651,780.607482910156,874.735921223958,801.407938639323,748.121154785156,777.757588704427,785.727620442708,1029.30814615885,906.031555175781,742.273620605469,640.922993977865,984.712198893229,740.637064615885,824.672831217448,707.849446614583,660.434814453125,971.842610677083,796.174235026042,890.241495768229
"Cameroon",1659.49737445027,1718.67719938317,1633.3947979155,1673.47071308992,1367.42739245356,1594.82480460446,1682.04647328902,1518.28804348277,1471.39720527493,1664.55956948209,1564.90177170111,1712.4823088354,1631.19994847304,1594.0982940051,1646.51372253003,1630.36614305146,1611.94300001495,1618.13845991277,1647.10652077604,1519.31742391781,1664.05414482688,1536.24576719115,1563.67410901128,1694.15881005112,1347.23460959091,1522.47340382686,1504.44097921151,1737.07085434271,1724.2317199707,1427.84882982734,1441.31144319911,1679.3026776995
